Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
498,Norvel Pelle\pelleno01,PHI,350189,,,,,,Minimum Salary,"$350,189 "
499,Ky Bowman\bowmaky01,GSW,350189,"$1,517,981 ","$1,782,621 ",,,,MLE,"$350,189 "
500,Juan Toscano-Anderson\toscaju01,GSW,350189,"$1,517,981 ","$1,782,621 ",,,,MLE,"$350,189 "
501,A.J. Hammons\hammoaj01,MIA,350087,"$350,087 ",,,,,,"$700,174 "
502,Festus Ezeli\ezelife01,POR,333333,,,,,,,"$333,333 "
503,C.J. Watson\watsocj01,ORL,333333,,,,,,,"$333,333 "
504,Anthony Tolliver\tollian01,MEM,289803,,,,,,Minimum Salary,"$434,704 "
505,Joakim Noah\noahjo01,LAC,289803,"$1,737,274 ",,,,,Minimum Salary,"$434,704 "
506,Corey Brewer\breweco01,SAC,289803,,,,,,Minimum Salary,"$289,803 "
507,J.R. Smith\smithjr01,LAL,289803,,,,,,Minimum Salary,"$289,803 "
508,Luc Mbah a Moute\mbahalu01,HOU,289803,,,,,,Minimum Salary,"$289,803 "
509,Jamal Crawford\crawfja01,BRK,289803,,,,,,Minimum Salary,"$289,803 "
510,Lance Thomas\thomala01,BRK,262152,,,,,,Minimum Salary,"$262,152 "
511,Stanton Kidd\kiddst01,UTA,250000,,,,,,,"$250,000 "
512,Jordan Bell\belljo01,CLE,250000,,,,,,MLE,"$250,000 "
513,Tyler Zeller\zellety01,SAS,245686,"$2,436,046 ",,,,,Minimum Salary,"$245,686 "
514,Trey Burke\burketr01,DAL,229220,,,,,,Minimum Salary,"$229,220 "
515,Joe Johnson\johnsjo02,DET,220000,,,,,,,"$220,000 "
516,Tyler Johnson\johnsty01,BRK,212753,,,,,,Minimum Salary,"$212,753 "
517,Jemerrio Jones\jonesje01,WAS,199000,,,,,,,"$199,000 "
518,Jontay Porter\portejo01,MEM,197933,"$1,517,981 ",,,,,Minimum Salary,"$197,933 "
519,Justin Anderson\anderju01,BRK,196288,,,,,,Minimum Salary,"$294,432 "
520,Jerian Grant\grantje02,WAS,196288,,,,,,Minimum Salary,"$196,288 "
521,Cameron Payne\payneca01,PHO,196288,"$1,977,011 ",,,,,Minimum Salary,"$196,288 "
522,Timothé Luwawu-Cabarrot\luwawti01,BRK,189702,,,,,,,"$844,170 "
523,Dragan Bender\bendedr01,GSW,189702,,,,,,,"$189,702 "
524,Mychal Mulder\muldemy01,GSW,187782,"$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$238,534 "
525,Sindarius Thornwell\thornsi01,NOP,183115,,,,,,Minimum Salary,"$183,115 "
526,Justin Patton\pattoju01,DET,183115,"$1,762,796 ",,,,,Minimum Salary,"$183,115 "
527,PJ Dozier\doziepj01,DEN,183115,,,,,,MLE,"$183,115 "
528,Alfonzo McKinnie\mckinal01,CLE,183114,,,,,,,"$2,253,031 "
529,Gary Clark\clarkga01,ORL,163356,,,,,,,"$718,765 "
530,Jarrod Uthoff\uthofja01,WAS,163356,,,,,,Minimum Salary,"$163,356 "
531,Jaylen Adams\adamsja01,POR,163356,,,,,,Minimum Salary,"$163,356 "
